,optim_winrate,optim_ret,median_winrate,median_ret,mean_winrate,mean_ret,mode_winrate,mode_ret
EUR/USD,87.50%,0.79%,46.67%,-0.02%,41.33%,-0.20%,46.67%,-0.07%
USD/JPY,90.12%,0.96%,53.95%,0.07%,60.53%,0.17%,51.32%,0.10%
GBP/USD,88.89%,0.83%,48.68%,-0.16%,40.79%,-0.19%,51.32%,-0.10%
USD/CHF,77.78%,0.66%,42.11%,-0.12%,46.05%,0.02%,44.74%,-0.11%
AUD/USD,82.72%,1.01%,46.05%,-0.19%,47.37%,-0.14%,44.74%,-0.18%
USD/CAD,72.84%,0.63%,36.84%,-0.20%,35.53%,-0.23%,40.79%,-0.15%
NZD/USD,91.36%,1.04%,48.68%,-0.19%,44.74%,-0.30%,50.00%,-0.24%
Bund,84.72%,0.62%,49.64%,0.12%,53.96%,0.11%,46.76%,0.08%
AUS200,73.63%,0.94%,41.86%,-0.70%,41.86%,-0.62%,40.70%,-0.70%
ESP35,74.25%,1.53%,45.68%,-0.38%,43.21%,-0.32%,47.53%,-0.35%
EUSTX50,77.78%,1.67%,46.04%,-0.43%,50.36%,-0.18%,43.17%,-0.36%
FRA40,81.25%,1.77%,46.04%,-0.46%,46.76%,-0.37%,46.76%,-0.48%
GER30,80.61%,1.66%,58.06%,0.09%,55.91%,0.22%,51.61%,-0.03%
HKG33,81.25%,1.98%,45.53%,-0.20%,43.90%,-0.19%,42.28%,-0.27%
JPN225,80.68%,1.53%,48.19%,0.10%,44.58%,-0.15%,50.60%,0.08%
NAS100,89.53%,2.27%,54.32%,-0.25%,49.38%,-0.18%,51.85%,-0.15%
SPX500,89.53%,1.74%,51.85%,-0.16%,53.09%,0.12%,49.38%,-0.25%
UK100,82.40%,1.37%,42.50%,-0.49%,40.00%,-0.46%,41.67%,-0.57%
US30,86.05%,1.53%,46.91%,-0.12%,50.62%,-0.29%,46.91%,-0.20%
Copper,80.00%,2.18%,42.50%,-0.48%,42.50%,-0.73%,46.25%,-0.45%
NGAS,83.91%,5.40%,43.90%,-1.74%,48.78%,-0.93%,45.12%,-1.35%
UKOil,84.21%,3.32%,55.56%,-0.18%,44.44%,-0.58%,56.67%,-0.44%
USOil,83.91%,3.72%,50.00%,-0.69%,48.78%,-0.66%,51.22%,-0.57%
XAU/USD,81.18%,1.35%,43.75%,-0.25%,46.25%,-0.10%,48.75%,-0.04%
XAG/USD,71.76%,1.69%,41.25%,-0.35%,37.50%,-1.47%,45.00%,-0.12%
